cfips,population,year
18105,121369,2019
18107,29472,2019
18109,53290,2019
18111,10972,2019
18113,35333,2019
18115,4760,2019
18117,14993,2019
18119,16428,2019
18121,13401,2019
18123,15143,2019
18125,9677,2019
18127,129403,2019
18129,19883,2019
18131,9849,2019
18133,30190,2019
18135,19280,2019
18137,21562,2019
18139,12913,2019
18141,204349,2019
18143,18223,2019
18145,34087,2019
18147,15977,2019
18149,17584,2019
18151,27252,2019
18153,16677,2019
18155,7938,2019
18157,147526,2019
18159,12045,2019
18161,5549,2019
18163,142189,2019
18165,12162,2019
18167,85432,2019
18169,25065,2019
18171,6453,2019
18173,46475,2019
18175,21277,2019
18177,52121,2019
18179,20958,2019
18181,18600,2019
18183,25677,2019
19001,5643,2019
19003,2998,2019
19005,10766,2019
19007,9795,2019
19009,4556,2019
19011,19480,2019
19013,104196,2019
19015,20381,2019
19017,19281,2019
19019,15457,2019
19021,15157,2019
19023,11411,2019
19025,7759,2019
19027,15408,2019
19029,10358,2019
19031,14192,2019
19033,34202,2019
19035,9110,2019
19037,9283,2019
19039,7036,2019
19041,12634,2019
19043,13844,2019
19045,36672,2019
19047,12833,2019
19049,57882,2019
19051,6258,2019
19053,6379,2019
19055,13166,2019
19057,30768,2019
19059,13742,2019
19061,74235,2019
19063,7574,2019
19065,15863,2019
19067,12313,2019
19069,7947,2019
19071,5437,2019
19073,7031,2019
19075,9439,2019
19077,8270,2019
19079,11725,2019
19081,8507,2019
19083,13481,2019
19085,10960,2019
19087,15440,2019
19089,7004,2019
19091,7344,2019
19093,5337,2019
19095,12419,2019
19097,15086,2019
19099,28587,2019
19101,14482,2019
19103,115187,2019
19105,16021,2019
19107,7919,2019
19109,11846,2019
19111,27261,2019
19113,167857,2019
19115,8630,2019
19117,6618,2019
19119,8426,2019
19121,11646,2019
19123,16945,2019
19125,25186,2019
19127,30305,2019
19129,11379,2019
19131,8089,2019
19133,7088,2019
19135,5984,2019
19137,7890,2019
19139,32071,2019
19141,10690,2019
19143,4703,2019
19145,12275,2019
19147,7069,2019
19149,18720,2019
19151,5439,2019
19153,349675,2019
19155,71165,2019
19157,14796,2019
19159,3811,2019
19161,7729,2019
19163,130282,2019
19165,9116,2019
19167,25268,2019
19169,79694,2019
19171,13064,2019
19173,4767,2019
19175,9637,2019
19177,5549,2019
19179,27351,2019
19181,36449,2019
19183,16593,2019
19185,4831,2019
19187,28984,2019
19189,8293,2019
19191,16720,2019
19193,75519,2019
19195,5859,2019
19197,9874,2019
20001,9786,2019
20003,5878,2019
20005,12576,2019
20007,3730,2019
20009,20540,2019
20011,10989,2019
20013,7241,2019
20015,49076,2019
20017,2053,2019
20019,2696,2019
20021,15556,2019
20023,2092,2019
20025,1579,2019
20027,6228,2019
20029,7124,2019
20031,6504,2019
20033,1351,2019
20035,27175,2019
20037,30583,2019
20039,2338,2019
20041,14527,2019
20043,6216,2019
20045,95540,2019
20047,2254,2019
20049,2045,2019
20051,22657,2019
20053,5182,2019
20055,25543,2019
20057,24060,2019
20059,19307,2019
20061,24699,2019
20063,2062,2019
20065,2055,2019
20067,5264,2019
20069,4242,2019
20071,931,2019
20073,4912,2019
20075,1866,2019
20077,4345,2019
20079,26022,2019
20081,2902,2019
20083,1468,2019
20085,9929,2019
20087,14440,2019
20089,2387,2019
20091,433257,2019
20093,2778,2019
20095,5862,2019
20097,1970,2019
20099,15681,2019
20101,1295,2019
20103,60261,2019
20105,2416,2019
20107,7381,2019
20109,2130,2019
20111,25821,2019
20113,22092,2019
20115,9495,2019
20117,7536,2019
20119,3154,2019
20121,24636,2019
20123,4869,2019
20125,25576,2019
20127,4426,2019
20129,2211,2019
20131,7452,2019
20133,12169,2019
20135,2344,2019
20137,4485,2019
20139,12173,2019
20141,2889,2019
20143,4517,2019
20145,5527,2019
20147,4179,2019
20149,16424,2019
20151,7317,2019
20153,2031,2019
20155,48857,2019
20157,3803,2019
20159,7614,2019
20161,62919,2019
20163,3975,2019
20165,2477,2019
20167,5518,2019
20169,42090,2019
20171,3750,2019
20173,376362,2019
20175,15747,2019
20177,135242,2019
20179,1903,2019
20181,4571,2019
20183,2960,2019
20185,3218,2019
20187,1479,2019
20189,3978,2019
20191,17500,2019
20193,6082,2019
20195,2324,2019
20197,5213,2019
20199,1162,2019
20201,4290,2019
20203,1571,2019
20205,6744,2019
20207,2502,2019
20209,117391,2019
21001,15415,2019
21003,15718,2019
21005,16697,2019
21007,6334,2019
21009,33115,2019
21011,9099,2019
21013,21604,2019
21015,93557,2019
21017,15456,2019
21019,38173,2019
21021,23766,2019
21023,6271,2019
21025,10491,2019
21027,15357,2019
21029,60689,2019
21031,9871,2019
21033,9895,2019
21035,31613,2019
21037,72069,2019
21039,3796,2019
21041,7958,2019
21043,21246,2019
21045,12244,2019
21047,52470,2019
21049,27628,2019
21051,16413,2019
21053,7887,2019
21055,7082,2019
21057,5278,2019
21059,75044,2019
21061,9734,2019
21063,6122,2019
21065,11290,2019
21067,248638,2019
21069,10965,2019
21071,29285,2019
21073,39446,2019
21075,4947,2019
21077,6488,2019
21079,13394,2019
21081,18077,2019
21083,28169,2019
21085,19803,2019
21087,8695,2019
21089,28199,2019
21091,6491,2019
21093,80899,2019
21095,21251,2019
21097,14296,2019
21099,13950,2019
21101,35491,2019
21103,11970,2019
21105,3707,2019
21107,35314,2019
21109,10319,2019
21111,591936,2019
21113,38850,2019
21115,17842,2019
21117,124356,2019
21119,12435,2019
21121,23949,2019
21123,10925,2019
21125,45858,2019
21127,12157,2019
21129,5340,2019
21131,8340,2019
21133,18048,2019
21135,10548,2019
21137,18640,2019
21139,7357,2019
21141,20485,2019
21143,7094,2019
21145,50898,2019
21147,13717,2019
21149,7125,2019
21151,69710,2019
21153,9813,2019
21155,14592,2019
21157,24768,2019
21159,9677,2019
21161,13146,2019
21163,21605,2019
21165,5045,2019
21167,16606,2019
21169,7626,2019
21171,8239,2019
21173,20866,2019
21175,10800,2019
21177,24601,2019
21179,34057,2019
21181,5415,2019
21183,18381,2019
21185,47965,2019
21187,8138,2019
21189,3555,2019
21191,11238,2019
21193,21237,2019
21195,48643,2019
21197,9369,2019
21199,49650,2019
21201,1722,2019
21203,13066,2019
21205,19728,2019
21207,13733,2019
21209,38835,2019
21211,34911,2019
21213,13511,2019
21215,13891,2019
21217,19731,2019
21219,9033,2019
21221,11178,2019
21223,6708,2019
21225,11888,2019
21227,95840,2019
21229,9199,2019
21231,16074,2019
21233,10138,2019
21235,27302,2019
21237,5544,2019
21239,19934,2019
22001,45885,2019
22003,20021,2019
22005,86515,2019
22007,17710,2019
22009,31264,2019
22011,27494,2019
22013,10717,2019
22015,94002,2019
22017,190258,2019
22019,149246,2019
22021,7683,2019
22023,5221,2019
22025,7827,2019
22027,13324,2019
22029,15343,2019
22031,20524,2019
22033,344321,2019
22035,5968,2019
22037,15787,2019
22039,25162,2019
22041,15177,2019
22043,17477,2019
22045,53935,2019
22047,26073,2019
22049,12443,2019
22051,341146,2019
22053,23378,2019
22055,181432,2019
22057,74981,2019
22059,11473,2019
22061,37922,2019
22063,101031,2019
22065,8795,2019
22067,19809,2019
22069,29731,2019
22071,309300,2019
22073,116551,2019
22075,17198,2019
22077,17212,2019
22079,98857,2019
22081,6623,2019
22083,15592,2019
22085,18331,2019
22087,32923,2019
22089,39478,2019
22091,8163,2019
22093,16476,2019
22095,32669,2019
22097,60848,2019
22099,40318,2019
22101,39692,2019
22103,188278,2019
22105,96994,2019
22107,3600,2019
22109,83941,2019
22111,17473,2019
22113,44217,2019
22115,38576,2019
22117,35254,2019
22119,30855,2019
22121,19318,2019
22123,8609,2019
22125,12819,2019
22127,11488,2019
23001,83765,2019
23003,55986,2019
23005,233192,2019
23007,24632,2019
23009,44925,2019
23011,97368,2019
23013,32423,2019
23015,28207,2019
23017,46046,2019
23019,124006,2019
23021,14012,2019
23023,28325,2019
23025,40918,2019
23027,31698,2019
23029,25802,2019
23031,162026,2019
24001,59788,2019
24003,437743,2019
24005,649612,2019
24009,69085,2019
24011,24966,2019
24013,129980,2019
24015,78578,2019
24017,117638,2019
24019,25529,2019
24021,187788,2019
24023,23807,2019
24025,193094,2019
24027,235647,2019
24029,16467,2019
24031,795544,2019
24033,701361,2019
24035,38246,2019
24037,83491,2019
24039,21457,2019
24041,30529,2019
24043,116256,2019
24045,79538,2019
24047,42427,2019
24510,489895,2019
25001,180399,2019
25003,105197,2019
25005,440100,2019
25007,14015,2019
25009,606834,2019
25011,58130,2019
25013,365255,2019
25015,136575,2019
25017,1261398,2019
25019,8692,2019
25021,545083,2019
25023,396000,2019
25025,647638,2019
25027,640471,2019
26001,9055,2019
26003,7829,2019
26005,85845,2019
26007,23229,2019
26009,18760,2019
26011,12452,2019
26013,7007,2019
26015,46111,2019
26017,83396,2019
26019,14156,2019
26021,120413,2019
26023,33342,2019
26025,103080,2019
26027,40489,2019
26029,20940,2019
26031,21009,2019
26033,30872,2019
26035,24526,2019
26037,59531,2019
26039,11249,2019
26041,29005,2019
26043,20558,2019
26045,85154,2019
26047,26280,2019
26049,315424,2019
26051,20418,2019
26053,13160,2019
26055,72336,2019
26057,32892,2019
26059,35682,2019
26061,28930,2019
26063,25562,2019
26065,228541,2019
26067,49156,2019
26069,21045,2019
26071,9442,2019
26073,58278,2019
26075,123939,2019
26077,202828,2019
26079,13667,2019
26081,477971,2019
26083,1778,2019
26085,9724,2019
26087,69020,2019
26089,17875,2019
26091,77244,2019
26093,144632,2019
26095,5340,2019
26097,9044,2019
26099,676775,2019
26101,20082,2019
26103,54984,2019
26105,22862,2019
26107,35028,2019
26109,18932,2019
26111,65266,2019
26113,11505,2019
26115,116386,2019
26117,48528,2019
26119,7890,2019
26121,131935,2019
26123,36887,2019
26125,971055,2019
26127,20216,2019
26129,17037,2019
26131,5306,2019
26133,17836,2019
26135,6728,2019
26137,19035,2019
26139,211219,2019
26141,10750,2019
26143,20298,2019
26145,151499,2019
26147,125137,2019
26149,45669,2019
26151,32368,2019
26153,6631,2019
26155,53567,2019
26157,42191,2019
26159,57170,2019
26161,291898,2019
26163,1340969,2019
26165,25192,2019
27001,13206,2019
27003,261140,2019
27005,25300,2019
27007,34232,2019
27009,29511,2019
27011,4002,2019
27013,52779,2019
27015,19713,2019
27017,27353,2019
27019,71556,2019
27021,22678,2019
27023,9249,2019
27025,41592,2019
27027,47291,2019
27029,6634,2019
27031,4488,2019
27033,8694,2019
27035,49477,2019
27037,311677,2019
27039,14945,2019
27041,29014,2019
27043,10909,2019
27045,15784,2019
27047,23914,2019
27049,35636,2019
27051,4615,2019
27053,953313,2019
27055,14681,2019
27057,16362,2019
27059,29175,2019
27061,35650,2019
27063,7863,2019
27065,12478,2019
27067,32317,2019
27069,3439,2019
27071,10331,2019
27073,5486,2019
27075,8633,2019
27077,3120,2019
27079,21115,2019
27081,4405,2019
27083,19383,2019
27085,27392,2019
27087,3792,2019
27089,7242,2019
27091,15716,2019
27093,17451,2019
27095,19385,2019
27097,25125,2019
27099,29641,2019
27101,6618,2019
27103,26062,2019
27105,16043,2019
27107,5039,2019
27109,114192,2019
27111,45272,2019
27113,10922,2019
27115,23125,2019
27117,6941,2019
27119,24055,2019
27121,8608,2019
27123,412358,2019
27125,3027,2019
27127,11756,2019
27129,11440,2019
27131,50856,2019
27133,7063,2019
27135,11721,2019
27137,161822,2019
27139,101201,2019
27141,67062,2019
27143,11285,2019
27145,119573,2019
27147,27363,2019
27149,7733,2019
27151,7347,2019
27153,18616,2019
27155,2661,2019
27157,16787,2019
27159,10251,2019
27161,14422,2019
27163,188145,2019
27165,8294,2019
27167,4933,2019
27169,41643,2019
27171,93631,2019
27173,7637,2019
28001,24276,2019
28003,28411,2019
28005,9931,2019
28007,13924,2019
28009,6464,2019
28011,24837,2019
28013,11092,2019
28015,8204,2019
28017,12985,2019
28019,6487,2019
28021,7126,2019
28023,12408,2019
28025,15257,2019
28027,17541,2019
28029,21954,2019
28031,14368,2019
28033,127483,2019
28035,58258,2019
28037,5889,2019
28039,17281,2019
28041,11020,2019
28043,16287,2019
28045,36104,2019
28047,151837,2019
28049,182606,2019
28051,13414,2019
28053,6325,2019
28055,1115,2019
28057,18263,2019
28059,107327,2019
28061,12738,2019
28063,5606,2019
28065,9229,2019
28067,50863,2019
28069,8026,2019
28071,43163,2019
28073,45192,2019
28075,59501,2019
28077,9569,2019
28079,16698,2019
28081,62906,2019
28083,21726,2019
28085,26068,2019
28087,45284,2019
28089,76119,2019
28091,19440,2019
28093,28097,2019
28095,27693,2019
28097,7937,2019
28099,21111,2019
28101,15976,2019
28103,8143,2019
28105,40748,2019
28107,25476,2019
28109,42412,2019
28111,9227,2019
28113,29046,2019
28115,22718,2019
28117,19563,2019
28119,5679,2019
28121,113645,2019
28123,20894,2019
28125,3478,2019
28127,20486,2019
28129,12160,2019
28131,13905,2019
28133,20652,2019
28135,12102,2019
28137,21601,2019
28139,16559,2019
28141,15166,2019
28143,7204,2019
28145,21014,2019
28147,11137,2019
28149,35813,2019
28151,35319,2019
28153,15350,2019
28155,7468,2019
28157,7108,2019
28159,14252,2019
28161,9549,2019
28163,20629,2019
29001,20847,2019
29003,13353,2019
29005,4308,2019
29007,19744,2019
29009,27298,2019
29011,9007,2019
29013,12413,2019
29015,15582,2019
29017,9602,2019
29019,138933,2019
29021,68921,2019
29023,32801,2019
29025,6866,2019
29027,35225,2019
29029,36646,2019
29031,61290,2019
29033,6874,2019
29035,4720,2019
29037,76524,2019
29039,10531,2019
29041,5867,2019
29043,61471,2019
29045,5193,2019
29047,177692,2019
29049,15616,2019
29051,59269,2019
29053,13756,2019
29055,18696,2019
29057,5978,2019
29059,12551,2019
29061,6175,2019
29063,10505,2019
29065,11982,2019
29067,10548,2019
29069,22893,2019
29071,78425,2019
29073,11652,2019
29075,5024,2019
29077,226506,2019
29079,7764,2019
29081,6497,2019
29083,16948,2019
29085,7765,2019
29087,3618,2019
29089,7895,2019
29091,30408,2019
29093,8155,2019
29095,523666,2019
29097,88554,2019
29099,169500,2019
29101,42245,2019
29103,3021,2019
29105,26799,2019
29107,25051,2019
29109,28403,2019
29111,7744,2019
29113,40503,2019
29115,9320,2019
29117,11791,2019
29119,16833,2019
29121,11643,2019
29123,9445,2019
29125,7089,2019
29127,21938,2019
29129,2750,2019
29131,18998,2019
29133,10839,2019
29135,11931,2019
29137,6743,2019
29139,8948,2019
